official stmt,Field,depth
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherCostAndExpenseOperating,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",SellingAndMarketingExpense,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfGoodsAndServicesSold,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InvestmentIncomeInterest,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherSalesRevenueNet,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfRevenue,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GeneralAndAdministrativeExpense,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",PremiumsEarnedNet,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DepreciationAndAmortization,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ResearchAndDevelopmentExpense,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InvestmentIncomeNet,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",LaborAndRelatedExpense,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnDispositionOfAssets,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",LicensesRevenue,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InvestmentIncomeInterestAndDividend,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfGoodsSoldSubscription,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AssetRetirementObligationAccretionExpense,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AssetRetirementObligationAccretionExpense,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",RevenueSteamProductsAndServices,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ProvisionForLoanAndLeaseLosses,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",LicenseCosts,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfOtherPropertyOperatingExpense,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnDispositionOfAssets,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",PolicyholderBenefitsAndClaimsIncurredNet,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InterestIncomeOperating,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnSaleOfPropertyPlantEquipment,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnSaleOfOtherAssets,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CommunicationsAndInformationTechnology,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnDispositionOfIntangibleAssets,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AccretionExpense,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnInvestments,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ContractRevenueCost,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ProvisionForLoanAndLeaseLosses,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnDispositionOfIntangibleAssets,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherSellingGeneralAndAdministrativeExpense,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnDispositionOfIntangibleAssets,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnDispositionOfIntangibleAssets,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InterestExpenseOther,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OperatingExpenses,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnSaleOfOtherAssets,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AmortizationOfFinancingCosts,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GrossProfit,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherNonoperatingIncomeExpense,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",SellingGeneralAndAdministrativeExpense,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",Revenues,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InterestExpense,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfRevenue,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherSellingGeneralAndAdministrativeExpense,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainsLossesOnExtinguishmentOfDebt,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ProvisionForDoubtfulAccounts,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainsLossesOnExtinguishmentOfDebt,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherNonoperatingExpense,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherNonoperatingIncome,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InterestExpenseDebt,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InvestmentIncomeNet,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherCostAndExpenseOperating,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ProvisionForDoubtfulAccounts,9
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InterestExpenseOther,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ProvisionForDoubtfulAccounts,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherNonoperatingExpense,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AmortizationOfFinancingCosts,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OperatingIncomeLoss,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GrossProfit,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainsLossesOnExtinguishmentOfDebt,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherNonoperatingIncome,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OperatingExpenses,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InterestExpenseDebt,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",NonoperatingIncomeExpense,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InterestExpense,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InterestAndDebtExpense,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherNonoperatingIncomeExpense,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainsLossesOnExtinguishmentOfDebt,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ProvisionForDoubtfulAccounts,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",PublicUtilitiesAllowanceForFundsUsedDuringConstructionAdditions,8
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",PublicUtilitiesAllowanceForFundsUsedDuringConstructionAdditions,7
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",NonoperatingIncomeExpense,7
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InterestAndDebtExpense,7
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OperatingIncomeLoss,7
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,7
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,6
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,6
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromEquityMethodInvestments,6
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromEquityMethodInvestments,6
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,6
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,6
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,6
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,6
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeTaxExpenseBenefit,5
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,5
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,5
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,5
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DiscontinuedOperationTaxEffectOfDiscontinuedOperation,5
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromDiscontinuedOperationsNetOfTax,5
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromEquityMethodInvestments,5
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromEquityMethodInvestments,5
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromDiscontinuedOperationsNetOfTax,5
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,4
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",NetIncomeLossAttributableToNoncontrollingInterest,4
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,4
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ProfitLoss,4
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,4
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ProfitLoss,4
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromDiscontinuedOperationsNetOfTax,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromDiscontinuedOperationsNetOfTax,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",NetIncomeLoss,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",NetIncomeLoss,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperations,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperations,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",PreferredStockDividendsAndOtherAdjustments,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",EarningsPerShareBasic,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",EarningsPerShareDiluted,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperationsPerBasicShare,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperationsPerBasicShare,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",WeightedAverageNumberDilutedSharesOutstandingAdjustment,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",WeightedAverageNumberDilutedSharesOutstandingAdjustment,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromContinuingOperationsPerDilutedShare,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",WeightedAverageNumberOfDilutedSharesOutstanding,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",WeightedAverageNumberOfDilutedSharesOutstanding,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",WeightedAverageNumberOfSharesOutstandingBasic,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,3
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",NetIncomeLossAvailableToCommonStockholdersBasic,2
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",NetIncomeLossAvailableToCommonStockholdersBasic,2
"124100 - Statement - Statement of Income, Statement [Table]",OilAndGasProductionExpense,13
"124100 - Statement - Statement of Income, Statement [Table]",GoodwillImpairmentLoss,13
"124100 - Statement - Statement of Income, Statement [Table]",OtherDirectCostsOfHotels,13
"124100 - Statement - Statement of Income, Statement [Table]",MarketingExpense,13
"124100 - Statement - Statement of Income, Statement [Table]",FoodAndBeverageCostOfSales,13
"124100 - Statement - Statement of Income, Statement [Table]",CostOfPurchasedPower,13
"124100 - Statement - Statement of Income, Statement [Table]",RealEstateTaxExpense,13
"124100 - Statement - Statement of Income, Statement [Table]",RestructuringCharges,13
"124100 - Statement - Statement of Income, Statement [Table]",RestructuringCharges,13
"124100 - Statement - Statement of Income, Statement [Table]",AssetImpairmentCharges,13
"124100 - Statement - Statement of Income, Statement [Table]",AssetImpairmentCharges,13
"124100 - Statement - Statement of Income, Statement [Table]",CostOfPurchasedOilAndGas,13
"124100 - Statement - Statement of Income, Statement [Table]",ImpairmentOfIntangibleAssetsFinitelived,13
"124100 - Statement - Statement of Income, Statement [Table]",AmortizationOfIntangibleAssets,13
"124100 - Statement - Statement of Income, Statement [Table]",ImpairmentOfLongLivedAssetsHeldForUse,13
"124100 - Statement - Statement of Income, Statement [Table]",AmortizationOfIntangibleAssets,13
"124100 - Statement - Statement of Income, Statement [Table]",TaxesExcludingIncomeAndExciseTaxes,13
"124100 - Statement - Statement of Income, Statement [Table]",OccupancyCosts,13
"124100 - Statement - Statement of Income, Statement [Table]",AmortizationOfDeferredSalesCommissions,13
"124100 - Statement - Statement of Income, Statement [Table]",AmortizationOfDeferredSalesCommissions,13
"124100 - Statement - Statement of Income, Statement [Table]",MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,13
"124100 - Statement - Statement of Income, Statement [Table]",ImpairmentOfOilAndGasProperties,13
"124100 - Statement - Statement of Income, Statement [Table]",AvailableForSaleSecuritiesGrossRealizedGainLossNet,13
"124100 - Statement - Statement of Income, Statement [Table]",MarketingAndAdvertisingExpense,13
"124100 - Statement - Statement of Income, Statement [Table]",GoodwillImpairmentLoss,13
"124100 - Statement - Statement of Income, Statement [Table]",FoodAndBeverageCostOfSales,12
"124100 - Statement - Statement of Income, Statement [Table]",TaxesExcludingIncomeAndExciseTaxes,12
"124100 - Statement - Statement of Income, Statement [Table]",MarketingAndAdvertisingExpense,12
"124100 - Statement - Statement of Income, Statement [Table]",ElectricUtilityRevenue,12
"124100 - Statement - Statement of Income, Statement [Table]",TechnologyServicesCosts,12
"124100 - Statement - Statement of Income, Statement [Table]",CostOfPurchasedPower,12
"124100 - Statement - Statement of Income, Statement [Table]",RealEstateTaxExpense,12
"124100 - Statement - Statement of Income, Statement [Table]",AmortizationOfDeferredSalesCommissions,12
"124100 - Statement - Statement of Income, Statement [Table]",ManagementFeesRevenue,12
"124100 - Statement - Statement of Income, Statement [Table]",AmortizationOfDeferredSalesCommissions,12
"124100 - Statement - Statement of Income, Statement [Table]",GoodwillImpairmentLoss,12
"124100 - Statement - Statement of Income, Statement [Table]",OwnedPropertyManagementCosts,12
"124100 - Statement - Statement of Income, Statement [Table]",OccupancyCosts,12
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnDispositionOfAssets,12
"124100 - Statement - Statement of Income, Statement [Table]",CostOfPurchasedOilAndGas,12
"124100 - Statement - Statement of Income, Statement [Table]",MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,12
"124100 - Statement - Statement of Income, Statement [Table]",AssetRetirementObligationAccretionExpense,12
"124100 - Statement - Statement of Income, Statement [Table]",AssetRetirementObligationAccretionExpense,12
"124100 - Statement - Statement of Income, Statement [Table]",OtherDirectCostsOfHotels,12
"124100 - Statement - Statement of Income, Statement [Table]",CostOfRealEstateRevenue,12
"124100 - Statement - Statement of Income, Statement [Table]",CommunicationsAndInformationTechnology,12
"124100 - Statement - Statement of Income, Statement [Table]",GoodwillImpairmentLoss,12
"124100 - Statement - Statement of Income, Statement [Table]",ImpairmentOfLongLivedAssetsHeldForUse,12
"124100 - Statement - Statement of Income, Statement [Table]",FuelCosts,12
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnDispositionOfAssets,12
"124100 - Statement - Statement of Income, Statement [Table]",ImpairmentOfIntangibleAssetsFinitelived,12
"124100 - Statement - Statement of Income, Statement [Table]",OilAndGasProductionExpense,12
"124100 - Statement - Statement of Income, Statement [Table]",DirectCostsOfLeasedAndRentedPropertyOrEquipment,12
"124100 - Statement - Statement of Income, Statement [Table]",AvailableForSaleSecuritiesGrossRealizedGainLossNet,12
"124100 - Statement - Statement of Income, Statement [Table]",GeneralAndAdministrativeExpense,12
"124100 - Statement - Statement of Income, Statement [Table]",CostOfGoodsSold,12
"124100 - Statement - Statement of Income, Statement [Table]",ImpairmentOfOilAndGasProperties,12
"124100 - Statement - Statement of Income, Statement [Table]",AccretionExpense,12
"124100 - Statement - Statement of Income, Statement [Table]",InventoryWriteDown,12
"124100 - Statement - Statement of Income, Statement [Table]",ResearchAndDevelopmentExpense,12
"124100 - Statement - Statement of Income, Statement [Table]",DepreciationAndAmortization,12
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnSaleOfPropertyPlantEquipment,12
"124100 - Statement - Statement of Income, Statement [Table]",DepreciationAndAmortization,12
"124100 - Statement - Statement of Income, Statement [Table]",MarketingExpense,12
"124100 - Statement - Statement of Income, Statement [Table]",AmortizationOfIntangibleAssets,12
"124100 - Statement - Statement of Income, Statement [Table]",CostOfServices,12
"124100 - Statement - Statement of Income, Statement [Table]",SellingAndMarketingExpense,12
"124100 - Statement - Statement of Income, Statement [Table]",AmortizationOfIntangibleAssets,12
"124100 - Statement - Statement of Income, Statement [Table]",AssetImpairmentCharges,12
"124100 - Statement - Statement of Income, Statement [Table]",RestructuringCharges,12
"124100 - Statement - Statement of Income, Statement [Table]",BusinessCombinationAcquisitionRelatedCosts,12
"124100 - Statement - Statement of Income, Statement [Table]",LaborAndRelatedExpense,12
"124100 - Statement - Statement of Income, Statement [Table]",RestructuringCharges,12
"124100 - Statement - Statement of Income, Statement [Table]",ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,12
"124100 - Statement - Statement of Income, Statement [Table]",AssetImpairmentCharges,12
"124100 - Statement - Statement of Income, Statement [Table]",ManagementFeesRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",OperatingLeasesIncomeStatementLeaseRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",BusinessCombinationAcquisitionRelatedCosts,11
"124100 - Statement - Statement of Income, Statement [Table]",SellingGeneralAndAdministrativeExpense,11
"124100 - Statement - Statement of Income, Statement [Table]",InvestmentIncomeInterestAndDividend,11
"124100 - Statement - Statement of Income, Statement [Table]",GeneralAndAdministrativeExpense,11
"124100 - Statement - Statement of Income, Statement [Table]",CostOfServices,11
"124100 - Statement - Statement of Income, Statement [Table]",FinancialServicesCosts,11
"124100 - Statement - Statement of Income, Statement [Table]",CostOfGoodsSold,11
"124100 - Statement - Statement of Income, Statement [Table]",OtherCostAndExpenseOperating,11
"124100 - Statement - Statement of Income, Statement [Table]",SalesRevenueGoodsNet,11
"124100 - Statement - Statement of Income, Statement [Table]",LaborAndRelatedExpense,11
"124100 - Statement - Statement of Income, Statement [Table]",ContractRevenueCost,11
"124100 - Statement - Statement of Income, Statement [Table]",ResearchAndDevelopmentExpense,11
"124100 - Statement - Statement of Income, Statement [Table]",AssetRetirementObligationAccretionExpense,11
"124100 - Statement - Statement of Income, Statement [Table]",SalesRevenueServicesNet,11
"124100 - Statement - Statement of Income, Statement [Table]",InvestmentIncomeInterest,11
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnDispositionOfAssets,11
"124100 - Statement - Statement of Income, Statement [Table]",DepreciationAndAmortization,11
"124100 - Statement - Statement of Income, Statement [Table]",CostOfOtherPropertyOperatingExpense,11
"124100 - Statement - Statement of Income, Statement [Table]",AssetRetirementObligationAccretionExpense,11
"124100 - Statement - Statement of Income, Statement [Table]",HealthCareOrganizationResidentServiceRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",CostOfRealEstateRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",DepreciationAndAmortization,11
"124100 - Statement - Statement of Income, Statement [Table]",SellingAndMarketingExpense,11
"124100 - Statement - Statement of Income, Statement [Table]",CostOfGoodsAndServicesSold,11
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnDispositionOfAssets,11
"124100 - Statement - Statement of Income, Statement [Table]",OccupancyRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnDispositionOfIntangibleAssets,11
"124100 - Statement - Statement of Income, Statement [Table]",CommunicationsAndInformationTechnology,11
"124100 - Statement - Statement of Income, Statement [Table]",LicenseCosts,11
"124100 - Statement - Statement of Income, Statement [Table]",GasDomesticRegulatedRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",TenantReimbursements,11
"124100 - Statement - Statement of Income, Statement [Table]",TechnologyServicesRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",NaturalGasProductionRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",PolicyholderBenefitsAndClaimsIncurredNet,11
"124100 - Statement - Statement of Income, Statement [Table]",OtherHotelOperatingRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",DirectCostsOfLeasedAndRentedPropertyOrEquipment,11
"124100 - Statement - Statement of Income, Statement [Table]",OtherSellingGeneralAndAdministrativeExpense,11
"124100 - Statement - Statement of Income, Statement [Table]",ElectricUtilityRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",TechnologyServicesCosts,11
"124100 - Statement - Statement of Income, Statement [Table]",CostOfGoodsSoldSubscription,11
"124100 - Statement - Statement of Income, Statement [Table]",OilAndGasRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,11
"124100 - Statement - Statement of Income, Statement [Table]",FoodAndBeverageRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",OilAndCondensateRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnSaleOfPropertyPlantEquipment,11
"124100 - Statement - Statement of Income, Statement [Table]",OperatingLeasesIncomeStatementMinimumLeaseRevenue,11
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnSaleOfOtherAssets,11
"124100 - Statement - Statement of Income, Statement [Table]",InventoryWriteDown,11
"124100 - Statement - Statement of Income, Statement [Table]",ProvisionForLoanAndLeaseLosses,11
"124100 - Statement - Statement of Income, Statement [Table]",ProvisionForLoanAndLeaseLosses,11
"124100 - Statement - Statement of Income, Statement [Table]",RevenueFromLeasedAndOwnedHotels,11
"124100 - Statement - Statement of Income, Statement [Table]",AccretionExpense,11
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnInvestments,11
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnDispositionOfIntangibleAssets,11
"124100 - Statement - Statement of Income, Statement [Table]",OwnedPropertyManagementCosts,11
"124100 - Statement - Statement of Income, Statement [Table]",FuelCosts,11
"124100 - Statement - Statement of Income, Statement [Table]",TechnologyServicesRevenue,10
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnInvestments,10
"124100 - Statement - Statement of Income, Statement [Table]",FinancialServicesCosts,10
"124100 - Statement - Statement of Income, Statement [Table]",PremiumsEarnedNet,10
"124100 - Statement - Statement of Income, Statement [Table]",OtherSalesRevenueNet,10
"124100 - Statement - Statement of Income, Statement [Table]",SellingGeneralAndAdministrativeExpense,10
"124100 - Statement - Statement of Income, Statement [Table]",InvestmentIncomeNet,10
"124100 - Statement - Statement of Income, Statement [Table]",OtherCostAndExpenseOperating,10
"124100 - Statement - Statement of Income, Statement [Table]",OilAndCondensateRevenue,10
"124100 - Statement - Statement of Income, Statement [Table]",SalesRevenueNet,10
"124100 - Statement - Statement of Income, Statement [Table]",OccupancyRevenue,10
"124100 - Statement - Statement of Income, Statement [Table]",CostOfGoodsAndServicesSold,10
"124100 - Statement - Statement of Income, Statement [Table]",GainLossOnSaleOfOtherAssets,10
"124100 - Statement - Statement of Income, Statement [Table]",OperatingLeasesIncomeStatementMinimumLeaseRevenue,10
"124100 - Statement - Statement of Income, Statement [Table]",DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,10
"124100 - Statement - Statement of Income, Statement [Table]",OperatingExpenses,10
"124100 - Statement - Statement of Income, Statement [Table]",DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,10
"124100 - Statement - Statement of Income, Statement [Table]",InvestmentIncomeInterest,10
"124100 - Statement - Statement of Income, Statement [Table]",SalesRevenueGoodsNet,10
"124100 - Statement - Statement of Income, Statement [Table]",SalesRevenueServicesNet,10
"124100 - Statement - Statement of Income, Statement [Table]",PolicyholderBenefitsAndClaimsIncurredNet,10
"124100 - Statement - Statement of Income, Statement [Table]",CostOfRevenue,10
"124100 - Statement - Statement of Income, Statement [Table]",NaturalGasProductionRevenue,10
"124100 - Statement - Statement of Income, Statement [Table]",TenantReimbursements,10
"124100 - Statement - Statement of Income, Statement [Table]",OilAndGasRevenue,10
"124100 - Statement - Statement of Income, Statement [Table]",HealthCareOrganizationResidentServiceRevenue,10
"124100 - Statement - Statement of Income, Statement [Table]",LicensesRevenue,10
